#集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度
CT_zj_5801100097,800111066,定海海韵大厦, 商务楼,定海卫海路87号,浙江,舟山市,定海县,定海分公司,122.10018,30.01044,金州,183.152.192.2-183.152.207.254,光纤,C,浙贝,顾磊,15305809609,0,是,,,97,1041,3025,ZS-DH-NZ-1.domain,以太网,全覆盖,16,2009/9/17,,CT_zj_5801110009,华三AC定海76(主),,正常热点,定海海韵大厦,,
CT_zj_5809900117,800111073,定海临城人才公寓, 其他,定海临城海宇路人才公寓,浙江,舟山市,定海县,定海分公司,122.20978,29.99066,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,是,,,115,1041,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,7,2009/9/17,,CT_zj_5809910011,华三AC定海76(主),,正常热点,定海临城人才公寓,,
CT_zj_5800600073,800106083,定海博雁城市假日酒店, 宾馆酒店,定海区气象台路228号博雁城市假日酒店,浙江,舟山市,定海县,定海分公司,122.10774,30.03347,金州,183.152.192.2-183.152.207.254,光纤,C,国人,姜师傅,13646509939,0,是,,,102,1041,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,8,2009/9/16,,CT_zj_5800610031,华三AC定海76(主),,正常热点,定海博雁城市假日酒店,,
CT_zj_5800400053,80022015,普陀普陀山客运码头, 码头,普陀山梅岑路1号,浙江,舟山市,普陀县,普陀分公司,122.37602,29.97706,工程局,183.152.192.2-183.152.207.254,光纤,D,瑞达,乐谋勋,15305808705,0,否,,,1020,1042,3026,ZS-DH-NZ-1.domain,以太网,候船厅、茶室,4,2009/12/31,,CT_zj_5800420005,华三AC普陀78(主),,正常热点,普陀普陀山客运码头,,
CT_zj_5801200365,800112090,定海临城质量监督局, 政府机关等事业单位,定海临城新区质量监督局,浙江,舟山市,定海县,定海分公司,122.19925,29.99776,金州,183.152.192.2-183.152.207.254,光纤,C,浙贝,顾磊,15305809609,0,是,,,143,1041,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,11,2010/5/11,,CT_zj_5801210005,华三AC定海76(主),,正常热点,定海临城质量监督局,,
CT_zj_5801200421,800112096,定海临城海关大楼, 政府机关等事业单位,定海临城海景路599号,浙江,舟山市,定海县,定海分公司,122.19629,29.98292,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,工程部,13906801131,0,是,,,113,1041,3025,ZS-DH-NZ-1.domain,以太网,1~5F,9,2010/5/11,,CT_zj_5801210007,华三AC定海76(主),,正常热点,定海临城海关大楼,,
CT_zj_5801200422,800112097,定海舟山市临城交警支队, 政府机关等事业单位,定海市临城新区交警支队,浙江,舟山市,定海县,定海分公司,122.19009,29.99053,金州,183.152.192.2-183.152.207.254,光纤,B,浙贝,顾磊,15305809609,0,是,,,168,1041,3027,ZS-DH-NZ-1.domain,以太网,全覆盖,8,2010/5/11,,CT_zj_5801210004,华三AC定海76(主),,正常热点,定海舟山市临城交警支队,,
CT_zj_5801200423,800112098,定海临城交通委大楼, 政府机关等事业单位,定海市临城新区交通委大楼,浙江,舟山市,定海县,定海分公司,122.20571,29.9877,金州,183.152.192.2-183.152.207.254,光纤,C,浙贝,顾磊,15305809609,0,是,,,110,1041,3025,ZS-DH-NZ-1.domain,以太网,全覆盖,12,2010/5/11,,CT_zj_5801210006,华三AC定海76(主),,正常热点,定海临城交通委大楼,,
CT_zj_5801100481,800299097,普陀东港港汇广场, 商务楼,舟山市普陀区海莲路253号,浙江,舟山市,普陀县,普陀分公司,122.31354,29.96908,工程局,183.152.192.2-183.152.207.254,光纤,B,工程局,乐谋勋,15305808705,0,是,,,1162,1042,3024,ZS-DH-NZ-1.domain,以太网,全覆盖,32,2010/5/11,,CT_zj_5801520005,华三AC普陀78(主),,正常热点,普陀东港港汇广场,,
CT_zj_5801200906,800112108,定海舟山市社保局, 政府机关等事业单位,定海舟山市社保局,浙江,舟山市,定海县,定海分公司,122.09364,30.01726,金州,183.152.192.2-183.152.207.254,光纤,C,国人,顾磊,15305809609,0,是,,,100,1041,3024,ZS-DH-NZ-1.domain,以太网,2~7F,6,2010/8/2,,CT_zj_5801210008,华三AC定海76(主),,正常热点,定海舟山市社保局,,
CT_zj_5801200404,800112095,定海临城环卫大楼, 政府机关等事业单位,定海临城环卫大楼,浙江,舟山市,定海县,定海分公司,122.19196,29.98432,金州,183.152.192.2-183.152.207.254,光纤,C,浙贝,顾磊,15305809609,0,是,,,164,1041,3028,ZS-DH-NZ-1.domain,以太网,全覆盖,6,2010/5/11,,CT_zj_5801210003,华三AC定海76(主),,正常热点,定海临城环卫大楼,,
CT_zj_5800400723,800204157,普陀朱家尖蜈蚣峙码头停车场室外, 码头,普陀朱家尖蜈蚣峙码头室外停车场,浙江,舟山市,普陀县,普陀分公司,122.38336,29.9881,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局SY,乐谋勋,15305808705,0,否,,,1059,1042,3033,ZS-DH-NZ-1.domain,以太网,室外停车场、侯船厅,3,2010/7/24,,CT_zj_5800420001,华三AC普陀78(主),普陀朱家尖蜈蚣峙码头,正常热点,普陀朱家尖蜈蚣峙码头停车场室外,,
CT_zj_5801001240,80019053,定海临城体育馆主馆, 体育场馆,定海临城体育馆（主馆）,浙江,舟山市,定海县,定海分公司,122.20531,29.98331,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,是,,,149,1041,3004,ZS-DH-NZ-1.domain,以太网,全覆盖,5,2010/11/9,,CT_zj_5801010002,华三AC定海76(主),定海临城体育馆,正常热点,定海临城体育馆主馆,,
CT_zj_5801601327,800116175,定海岑港电信营业厅, 电信自有,定海岑港电信营业厅,浙江,舟山市,定海县,定海分公司,121.996,30.07557,金州,183.152.192.2-183.152.207.254,光纤,D,工程局FZ,营业厅,8010004,0,否,,,109,1041,3000,ZS-DH-NZ-1.domain,以太网,营业大厅,2,2010/11/25,,CT_zj_5801610007,华三AC定海76(主),,正常热点,定海岑港电信营业厅,,
CT_zj_5800401417,800204252,普陀朱家尖蜈蚣峙码头侯船厅, 码头,普陀朱家尖蜈蚣峙码头侯船厅,浙江,舟山市,普陀县,普陀分公司,122.36762,29.95404,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局SY,乐谋勋,15305808705,0,否,,,1058,1042,3033,ZS-DH-NZ-1.domain,以太网,侯船厅南,4,2010/12/2,,CT_zj_5800420003,华三AC普陀78(主),普陀朱家尖蜈蚣峙码头,正常热点,普陀朱家尖蜈蚣峙码头侯船厅,,
CT_zj_5800601121,800106128,定海瑞豪大酒店, 宾馆酒店,定海瑞豪大酒店,浙江,舟山市,定海县,定海分公司,122.11553,30.01819,金州,183.152.192.2-183.152.207.254,光纤,B,国人,金师傅,18967201020,0,是,,,105,1041,3029,ZS-DH-NZ-1.domain,以太网,全覆盖,8,2010/10/25,,CT_zj_5800610011,华三AC定海76(主),,正常热点,定海瑞豪大酒店,,
CT_zj_5809901908,800199285,定海舟山小学前公话亭, 其他,定海舟山小学前电话亭,浙江,舟山市,定海县,定海分公司,122.10042,30.02836,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,50,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910035,华三AC定海76(主),,正常热点,定海舟山小学前公话亭,,
CT_zj_5809901909,800199286,定海环城南路280号公话亭, 其他,定海环城南路280号前电话亭,浙江,舟山市,定海县,定海分公司,122.10418,30.01184,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,34,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910036,华三AC定海76(主),,正常热点,定海环城南路280号公话亭,,
CT_zj_5809901910,800199287,定海环城南路284号公话亭, 其他,定海环城南路284号前电话亭,浙江,舟山市,定海县,定海分公司,122.104,30.01187,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,44,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910037,华三AC定海76(主),,正常热点,定海环城南路284号公话亭,,
CT_zj_5809901911,800199288,定海环城南路370号公话亭, 其他,定海环城南路370号前电话亭,浙江,舟山市,定海县,定海分公司,122.10844,30.01187,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,35,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910038,华三AC定海76(主),,正常热点,定海环城南路370号公话亭,,
CT_zj_5809901912,800199289,定海环城南路392-2号好邻居超市公话亭, 其他,定海环城南路好邻居超市前电话亭,浙江,舟山市,定海县,定海分公司,122.10272,30.01195,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,28,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/3/13,,CT_zj_5809910039,华三AC定海76(主),,正常热点,定海环城南路392-2号好邻居超市公话亭,,
CT_zj_5809901913,800199290,定海人民南路303号公话亭, 其他,定海人民南路303号前电话亭,浙江,舟山市,定海县,定海分公司,122.10298,30.01134,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,47,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910040,华三AC定海76(主),,正常热点,定海人民南路303号公话亭,,
CT_zj_5809901914,800199291,定海人民南路323号公话亭, 其他,定海人民南路323号前电话亭,浙江,舟山市,定海县,定海分公司,122.10271,30.01089,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,48,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/3/13,,CT_zj_5809910041,华三AC定海76(主),,正常热点,定海人民南路323号公话亭,,
CT_zj_5809902095,800199318,定海昌国路50号公话亭, 其他,定海昌国路50号电话亭,浙江,舟山市,定海县,定海分公司,122.09898,30.02094,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,66,1041,3025,ZS-DH-NZ-1.domain,以太网,周边区域,3,2011/4/28,,CT_zj_5809910046,华三AC定海76(主),,正常热点,定海昌国路50号公话亭,,
CT_zj_5809905681,800199656,定海寿山庙停车场东面电灯杆PHS, 其他,定海寿山庙,浙江,舟山市,定海县,定海分公司,122.100281,30.043393,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,77,1041,3000,ZS-DH-NZ-1.domain,以太网,周边寺庙及附近停车场,2,2012/2/20,,CT_zj_5801310013,华三AC定海76(主),,正常热点,定海寿山庙停车场东面电灯杆PHS,,
CT_zj_5809901852,800116266,定海环城西路25号培蕾制衣厂公话亭, 其他,定海环城西路培蕾制衣厂前电话亭,浙江,舟山市,定海县,定海分公司,122.09631,30.0212,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,23,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910022,华三AC定海76(主),,正常热点,定海环城西路25号培蕾制衣厂公话亭,,
CT_zj_5809901853,800116267,定海昌国路56号公话亭, 其他,定海昌国路56号电话亭,浙江,舟山市,定海县,定海分公司,122.09939,30.02107,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,65,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910030,华三AC定海76(主),,正常热点,定海昌国路56号公话亭,,
CT_zj_5809901854,800116268,定海环城南路18-16号公话亭, 其他,定海环城南路18-16号前电话亭,浙江,舟山市,定海县,定海分公司,122.08563,30.0132,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,36,1041,3026,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910033,华三AC定海76(主),,正常热点,定海环城南路18-16号公话亭,,
CT_zj_5809901856,800116270,定海环城西路20号公话亭, 其他,定海环城西路20号前电话亭,浙江,舟山市,定海县,定海分公司,122.09734,30.02017,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,24,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910020,华三AC定海76(主),,正常热点,定海环城西路20号公话亭,,
CT_zj_5809901857,800116271,定海环城西路104号公话亭, 其他,定海环城西路104号前电话亭,浙江,舟山市,定海县,定海分公司,122.09915,30.01586,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,22,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910024,华三AC定海76(主),,正常热点,定海环城西路104号公话亭,,
CT_zj_5809901858,800116272,定海环城西路148号公话亭, 其他,定海环城西路148号前电话亭,浙江,舟山市,定海县,定海分公司,122.09847,30.01222,金州,183.152.192.2-183.152.207.254,光纤,B,工程局SY,顾磊,15305809609,0,否,,,58,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,客户经理：徐昌荣806870,CT_zj_5809910016,华三AC定海76(主),,正常热点,定海环城西路148号公话亭,,
CT_zj_5809901859,800116273,定海环城西路42号对面解放路派出所公话亭, 其他,定海环城西路解放路派出所前电话亭,浙江,舟山市,定海县,定海分公司,122.09762,30.01851,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,25,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910032,华三AC定海76(主),,正常热点,定海环城西路42号对面解放路派出所公话亭,,
CT_zj_5809901860,800116274,定海昌国路242号电信檀树机房前公话亭, 其他,定海昌国路242号前电话亭（檀树机房旁）,浙江,舟山市,定海县,定海分公司,122.11021,30.02359,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,67,1041,3024,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910017,华三AC定海76(主),,正常热点,定海昌国路242号电信檀树机房前公话亭,,
CT_zj_5809901861,800116275,定海腾坑湾路42号对面金岛花园公话亭, 其他,定海腾坑湾路金岛花园前电话亭,浙江,舟山市,定海县,定海分公司,122.09564,30.02302,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,46,1041,3026,ZS-DH-NZ-1.domain,以太网,沿街周边区域,2,2011/2/25,,CT_zj_5809910029,华三AC定海76(主),,正常热点,定海腾坑湾路42号对面金岛花园公话亭,,
CT_zj_5809901863,800116277,定海东河北路12幢公话亭, 其他,定海东河路12幢电话亭,浙江,舟山市,定海县,定海分公司,122.1148,30.02041,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,56,1041,3025,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/2/25,,CT_zj_5809910021,华三AC定海76(主),,正常热点,定海东河北路12幢公话亭,,
CT_zj_5801201946,800112299,定海临城国土资源局, 政府机关等事业单位,定海临城国土资源局,浙江,舟山市,定海县,定海分公司,122.19966,29.99271,金州,183.152.192.2-183.152.207.254,光纤,C,国人,顾磊,15305809609,0,是,,,99,1041,3026,ZS-DH-NZ-1.domain,以太网,全覆盖,14,2011/3/19,,CT_zj_5801210029,华三AC定海76(主),,正常热点,定海临城国土资源局,,
CT_zj_5809902617,800199351,定海环城南路94号前公话亭, 其他,定海环城南路94号,浙江,舟山市,定海县,定海分公司,122.09186,30.01318,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,32,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910069,华三AC定海76(主),,正常热点,定海环城南路94号前公话亭,,
CT_zj_5809902619,800199352,定海环城南路351号公话亭, 其他,定海环城南路351号门口,浙江,舟山市,定海县,定海分公司,122.11012,30.01204,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,60,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910071,华三AC定海76(主),,正常热点,定海环城南路351号公话亭,,
CT_zj_5809902620,800199353,定海昌国路234号市总工会门口公话亭, 其他,定海昌国路234号市总工会门口公话亭12,浙江,舟山市,定海县,定海分公司,122.109,30.02333,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,68,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910072,华三AC定海76(主),,正常热点,定海昌国路234号市总工会门口公话亭,,
CT_zj_5809902621,800199354,定海昌国路222号卫检门口公话亭, 其他,定海昌国路222号卫检门口公话亭43,浙江,舟山市,定海县,定海分公司,122.10821,30.02318,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,71,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/1,,CT_zj_5809910073,华三AC定海76(主),,正常热点,定海昌国路222号卫检门口公话亭,,
CT_zj_5809902642,800299436,普陀沈家门兴建路703号PHS, 其他,普陀沈家门兴建路703号屋顶小灵通基站,浙江,舟山市,普陀县,普陀分公司,122.27854,29.94424,工程局,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,乐谋勋,15305808705,0,否,,,1160,1042,3034,ZS-DH-NZ-1.domain,以太网,沈家门兴建路703号附近街道及商铺,2,2011/7/4,,CT_zj_5809920148,华三AC普陀78(主),,正常热点,普陀沈家门兴建路703号PHS,,
CT_zj_5809902555,800199342,定海东河中路A6幢公话亭, 其他,定海东河路南段A6幢电话亭,浙江,舟山市,定海县,定海分公司,122.1137,30.01545,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,18,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,2,2011/6/22,,CT_zj_5809910062,华三AC定海76(主),,正常热点,定海东河中路A6幢公话亭,,
CT_zj_5809902556,800199343,定海东河中路东港浦新村63幢公话亭, 其他,定海东河路南段东港浦新村63幢电话亭,浙江,舟山市,定海县,定海分公司,122.11291,30.01249,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,贝经理,15958087193,0,否,,,17,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,2,2011/6/22,,CT_zj_5809910063,华三AC定海76(主),,正常热点,定海东河中路东港浦新村63幢公话亭,,
CT_zj_5809902557,800199344,定海东河中路世纪新茂门口公话亭, 其他,定海东河路南段世纪新茂门口电话亭,浙江,舟山市,定海县,定海分公司,122.11451,30.01809,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,19,1041,3000,ZS-DH-NZ-1.domain,以太网,附近道路,3,2011/6/22,,CT_zj_5809910064,华三AC定海76(主),,正常热点,定海东河中路世纪新茂门口公话亭,,
CT_zj_5809902558,800199345,定海环城南路158-20号公话亭, 其他,定海环城南路158-20号前电话亭,浙江,舟山市,定海县,定海分公司,122.09595,30.01228,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,33,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/6/22,,CT_zj_5809910065,华三AC定海76(主),,正常热点,定海环城南路158-20号公话亭,,
CT_zj_5809902559,800199346,定海环城南路474号公话亭, 其他,定海环城南路474号前电话亭,浙江,舟山市,定海县,定海分公司,122.11166,30.01189,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,30,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/6/22,,CT_zj_5809910066,华三AC定海76(主),,正常热点,定海环城南路474号公话亭,,
CT_zj_5809902740,800199366,定海昌国路194号商干校门口公话亭, 其他,定海昌国路194号商干校门口,浙江,舟山市,定海县,定海分公司,122.10628,30.02278,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,62,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910078,华三AC定海76(主),,正常热点,定海昌国路194号商干校门口公话亭,,
CT_zj_5809902741,800199367,定海环城北路79号北门菜场公话亭, 其他,定海环城北路北门菜场,浙江,舟山市,定海县,定海分公司,122.10062,30.02791,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,49,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910079,华三AC定海76(主),,正常热点,定海环城北路79号北门菜场公话亭,,
CT_zj_5809902742,800199368,定海竹山公园门口南侧公话亭, 其他,定海竹山公园门口南侧,浙江,舟山市,定海县,定海分公司,122.08394,30.01319,金州,183.152.192.2-183.152.207.254,光纤,C,工程局SY,顾磊,15305809609,0,否,,,45,1041,3000,ZS-DH-NZ-1.domain,以太网,沿街周边区域,3,2011/7/19,,CT_zj_5809910080,华三AC定海76(主),,正常热点,定海竹山公园门口南侧公话亭,,
